"ID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACCOUNT_VOD__C","ADDRESS_LINE_2_VOD__C","CITY_VOD__C","EXTERNAL_ID_VOD__C","DEA_VOD__C","DEA_EXPIRATION_DATE_VOD__C","DEA_LICENSE_ADDRESS_VOD__C","PHONE_VOD__C","FAX_VOD__C","MAP_VOD__C","COMMENT_VOD__C","SHIPPING_VOD__C","PRIMARY_VOD__C","LICENSE_VOD__C","LICENSE_EXPIRATION_DATE_VOD__C","STAFF_NOTES_VOD__C","APPT_REQUIRED_VOD__C","OFFICE_NOTES_VOD__C","LICENSE_STATUS_VOD__C","ZIP_4_VOD__C","PHONE_2_VOD__C","FAX_2_VOD__C","LICENSE_VALID_TO_SAMPLE_VOD__C","SAMPLE_STATUS_VOD__C","INCLUDE_IN_TERRITORY_ASSIGNMENT_VOD__C","MOBILE_ID_VOD__C","INACTIVE_VOD__C","LOCK_VOD__C","COUNTRY_VOD__C","LATITUDE_VOD__C","ZIP_VOD__C","BEST_TIMES_VOD__C","SOURCE_VOD__C","BRICK_VOD__C","ASSMCA_VOD__C","DEA_ADDRESS_VOD__C","DEA_SCHEDULE_VOD__C","BUSINESS_VOD__C","BILLING_VOD__C","HOME_VOD__C","MAILING_VOD__C","STATE_VOD__C","LONGITUDE_VOD__C","DEA_STATUS_VOD__C","ENTITY_REFERENCE_ID_VOD__C","CONTROLLING_ADDRESS_VOD__C","CONTROLLED_ADDRESS_VOD__C","NO_ADDRESS_COPY_VOD__C","ADDRESS_LINE_3_BMS__C","ADDRESS_SOURCE_COUNTRY_BMS_CORE__C","ADDRESS_STATUS_BMS_CORE__C","ADDRESS_TYPE_BMS_CORE__C","CONTACT_NAME_BMS_CA__C","STATUS_BMS__C","CONCATENATED_ADDRESS_BMS__C","CONTACT_TITLE_BMS_CA__C","OFFICE_BMS__C","FORM_EXPIRATION_DATE_BMS_SHARED__C","ALLOW_LUNCHEON_BMS__C","FLAGGED_FOR_DELETE_ON_BMS__C","SAMPLE_SEND_STATUS_VOD__C","FORM_FLAG_BMS_SHARED__C","SAMPLE_AUTHORIZATION_CERT_BMS_SHARED__C","SAMPLE_INELIGIBLE_BMS_SHARED__C","SAMPLE_STATUS_REASON_BMS_SHARED__C","ELIGIBILITY_QUESTIONS_UPDATED_DATE_BMS__C","MINI_BRICK_BMS_EMEA__C","CUSTOMER_MASTER_STATUS_VOD__C","CDS_EXPIRATION_DATE_VOD__C","CDS_VOD__C","ARE_25_OF_YOUR_PATIENTS_ADULTS_BMS_US__C","DO_YOU_ACCEPT_SAMPLES_BMS_US__C","DO_YOU_HAVE_INFUSION_CAPABIL_BMS_US__C","LICENSE_EXPIRATION_DATE_BMS_SHARED__C","NETWORK_SAMPLE_ELIGIBILITY_VOD__C","NETWORK_ASSMCA_ENTITY_ID_VOD__C","NETWORK_CDS_ENTITY_ID_VOD__C","NETWORK_DEA_ENTITY_ID_VOD__C","NETWORK_LICENSE_ENTITY_ID_VOD__C","ADDRESS_VISIT_PRESSURE_BMS_EMEA__C","MASTER_ALIGN_ID_VOD__C","ROLE_BMS_EMEA__C","ROLE_FORMULA_BMS_EMEA__C","STATE_BMS_EMEA__C","STATE_FORMULA_BMS_EMEA__C","CDS_STATUS_VOD__C","BUILDING_NAME_BMS_EMEA__C","REGION_BMS_EMEA__C"
"a01580000017UghAAE","false","Langackerweg 25","012d0000000wwgQAAQ","2016-03-18T04:51:28.000Z","005d0000002bfc8AAA","2016-09-21T18:16:46.000Z","005d0000002bfc8AAA","2016-09-21T18:16:46.000Z","true","false","","","00158000003wkf6AAA","","Niederhasli","EU-249437422","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Langackerweg 25+Niederhasli"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","8155","","Manual","2205","","false","","true","false","false","false","Zürich","","","","","false","false","","EU","Flag as Active","","","Flag as Active","AndreasWidmer-Langackerweg 25,Niederhasli,Zürich,8155","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IeFEAU","Zürich","","","Niederhasli"
"a01580000017VHLAA2","false","Bahnhofstrasse 12","012d0000000wwgQAAQ","2016-03-18T04:52:31.000Z","005d0000002bfc8AAA","2016-09-21T18:17:15.000Z","005d0000002bfc8AAA","2016-09-21T18:17:16.000Z","true","false","","","00158000003wkf4AAA","","Brig","EU-249657043","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Bahnhofstrasse 12+Brig"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","3900","","Manual","2069","","false","","true","false","false","false","Valais","","","","","false","false","","EU","Flag as Active","","","Flag as Active","FriedrichHöflin-Bahnhofstrasse 12,Brig,Valais,3900","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004Ie7EAE","Valais","","","Brig"
"a01580000017VHJAA2","false","-","012d0000000wwgQAAQ","2016-03-18T04:52:31.000Z","005d0000002bfc8AAA","2016-09-21T18:17:15.000Z","005d0000002bfc8AAA","2016-09-21T18:17:16.000Z","true","false","","","00158000003wkkzAAA","","Neuchâtel","EU-249657063","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=-+Neuchâtel"" target=""_blank"">map</a>","","false","false","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","2008","","Manual","2071","","false","","false","false","false","true","Neuchâtel","","","","","false","false","","EU","Flag as Active","","","Flag as Active","LineWolter--,Neuchâtel,Neuchâtel,2008","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IeDEAU","Neuchâtel","","","Neuchâtel"
"a01580000017U9uAAE","false","Rue Firmin-Massot 2","012d0000000wwgQAAQ","2016-03-18T04:50:37.000Z","005d0000002bfc8AAA","2016-09-21T18:16:19.000Z","005d0000002bfc8AAA","2016-09-21T18:16:20.000Z","true","false","","","00158000003wkf5AAA","","Genève","EU-249657049","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Rue Firmin-Massot 2+Genève"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","1206","","Manual","2007","","false","","true","false","false","false","Genève","","","","","false","false","","EU","Flag as Active","","","Flag as Active","JacquesSaunier-Rue Firmin-Massot 2,Genève,Genève,1206","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IeBEAU","Genève","","","Genève"
"a01580000017TWkAAM","false","Rue de la Maladière 45","012d0000000wwgQAAQ","2016-03-18T04:49:28.000Z","005d0000002bfc8AAA","2016-09-21T18:15:52.000Z","005d0000002bfc8AAA","2016-09-21T18:15:52.000Z","true","false","","","00158000003wkkzAAA","","Neuchâtel","EU-249657064","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Rue de la Maladière 45+Neuchâtel"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","2000","","Manual","2071","","false","","true","false","false","false","Neuchâtel","","","","","false","false","","EU","Flag as Active","","","Flag as Active","LineWolter-Rue de la Maladière 45,Neuchâtel,Neuchâtel,2000","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IeDEAU","Neuchâtel","","","Neuchâtel"
"a01580000017UNYAA2","false","Rue de l'Hôpital 9","012d0000000wwgQAAQ","2016-03-18T04:50:57.000Z","005d0000002bfc8AAA","2016-12-16T19:13:49.000Z","005d0000002bfc8AAA","2016-12-16T19:13:49.000Z","true","false","","","00158000003wkl0AAA","","Riaz","EU-249657070","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Rue de l&#39;Hôpital 9+Riaz"" target=""_blank"">map</a>","","false","false","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","true","true","CH","","1632","","Manual","2082","","false","","true","false","false","false","Fribourg","","","","","false","false","","EU","Flag for Delete","","","Flag for Delete","LydieZufferey-Rue de l'Hôpital 9,Riaz,Fribourg,1632","","true","","false","2016-12-16T19:13:49.000Z","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IdwEAE","Fribourg","","","Riaz"
"a01580000017UNWAA2","false","Einestraat 17","012d0000000wwgQAAQ","2016-03-18T04:50:57.000Z","005d0000002bfc8AAA","2016-09-21T18:16:33.000Z","005d0000002bfc8AAA","2016-09-21T18:16:33.000Z","true","false","","","00158000003wkl6AAA","","Oudenaarde","EU-249860522","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Einestraat 17+Oudenaarde"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","BE","","9700","","Manual","45010","","false","","true","false","false","false","Flandre Orientale","","","","","false","false","","EU","Flag as Active","","","Flag as Active","CarolineDucatelle-Einestraat 17,Oudenaarde,Flandre Orientale,9700","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004DwMEAU","Flandre Orientale (BE)","","","Oudenaarde"
"a01580000017UNnAAM","false","Vasarakatu 29","012d0000000wwgQAAQ","2016-03-18T04:50:57.000Z","005d0000002bfc8AAA","2016-09-21T18:16:33.000Z","005d0000002bfc8AAA","2016-09-21T18:16:33.000Z","true","false","","","00158000003wklGAAQ","","JYVÄSKYLÄ","EU-250276847","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Vasarakatu 29+JYVÄSKYLÄ"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","FI","","40320","","Manual","6403","","false","","true","false","false","false","Keski-Suomi","","","","","false","false","","EU","Flag as Active","","","Flag as Active","Minna-LiisaLampila-Vasarakatu 29,JYVÄSKYLÄ,Keski-Suomi,40320","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004HdnEAE","Keski-Suomi","","","Jyväskylä"
"a01580000017WrDAAU","false","Petersgraben 4","012d0000000wwgQAAQ","2016-03-18T04:55:06.000Z","005d0000002bfc8AAA","2016-09-21T18:17:27.000Z","005d0000002bfc8AAA","2016-09-21T18:17:27.000Z","true","false","","","00158000003wkl1AAA","","Basel","EU-249657080","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Petersgraben 4+Basel"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","4031","","Manual","2143","","false","","true","false","false","false","Basel Stadt","","","","","false","false","","EU","Flag as Active","","","Flag as Active","BeatriceSchädeli-Mura-Petersgraben 4,Basel,Basel Stadt,4031","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004IdvEAE","Basel Stadt","","","Basel"
"a01580000017VKvAAM","false","Buchserstrasse 20","012d0000000wwgQAAQ","2016-03-18T04:52:31.000Z","005d0000002bfc8AAA","2016-09-21T18:17:18.000Z","005d0000002bfc8AAA","2016-09-21T18:17:18.000Z","true","false","","","00158000003wkl2AAA","","Suhr","EU-249437466","","","","","","<a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;q=Buchserstrasse 20+Suhr"" target=""_blank"">map</a>","","false","true","License #123","2050-12-31","","false","","Valid_vod","","","","Valid","Valid","true","","false","true","CH","","5034","","Manual","2158","","false","","true","false","false","false","Aargau","","","","","false","false","","EU","Flag as Active","","","Flag as Active","ChristianKettler-Buchserstrasse 20,Suhr,Aargau,5034","","true","","false","","","","","false","","","","","","","","","","","","","","","","","","","","a4Dd00000004Ie9EAE","Aargau","","","Suhr"
